Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
2018-05-08T00:00:00,FORD,4D,,BRO,934T522,IL,701 N. Sacramento,(773) 265-7605,6922591
2018-05-08T00:00:00,FORD,4D,,RED,Z501907,IL,10300 S. Doty,(773) 568-8495,2850128
2018-05-08T00:00:00,,MC,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6922597
2018-05-08T00:00:00,FORD,VN,TK,WHI,981T743,IL,10300 S. Doty,(773) 568-8495,2850132
2018-05-08T00:00:00,CHEV,4D,IMP,SIL,V209267,IL,400 E. Lower Wacker,(312) 744-7550,985980
2018-05-08T00:00:00,PONT,2D,,RED,AQ64054,IL,701 N. Sacramento,(773) 265-7605,6922602
2018-05-08T00:00:00,FORD,UT,TK,WHI,AD70031,AZ,10300 S. Doty,(773) 568-8495,2850137
2018-05-08T00:00:00,JEEP,LL,,SIL,AH94204,IL,10300 S. Doty,(773) 568-8495,2850143
2018-05-08T00:00:00,MAZD,4D,,GRY,Q338088,IL,10300 S. Doty,(773) 568-8495,2850149
2018-05-08T00:00:00,FORD,2D,MUS,ONG,X373996,IL,701 N. Sacramento,(773) 265-7605,6922608
2018-05-08T00:00:00,CADI,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2850156
2018-05-08T00:00:00,NISS,4D,,SIL,ZV69152,IL,701 N. Sacramento,(773) 265-7605,6922610
2018-05-08T00:00:00,DODG,PK,TK,WHI,,IL,701 N. Sacramento,(773) 265-7605,6922611
2018-05-08T00:00:00,HOND,LL,CRV,GLD,DLM4512,NC,701 N. Sacramento,(773) 265-7605,6922619
2018-05-08T00:00:00,GMC,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6922622
2018-05-08T00:00:00,FORD,VN,TK,WHI,320331RV,IL,701 N. Sacramento,(773) 265-7605,6922621
2018-05-08T00:00:00,NISS,4D,,GLD,446740F,TX,701 N. Sacramento,(773) 265-7605,6922623
2018-05-08T00:00:00,KIA,4D,,BLK,Q638213,IL,400 E. Lower Wacker,(312) 744-7550,986020
2018-05-08T00:00:00,KIA,4D,,SIL,Z964960,IL,400 E. Lower Wacker,(312) 744-7550,986018
2018-05-08T00:00:00,FORD,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2850171
2018-05-08T00:00:00,FORD,VN,,BLU,AN13370,IL,701 N. Sacramento,(773) 265-7605,6922631
2018-05-08T00:00:00,GMC,LL,,RED,AQ42444,IL,10300 S. Doty,(773) 568-8495,2850174
2018-05-08T00:00:00,PONT,4D,,SIL,ZU52412,IL,10300 S. Doty,(773) 568-8495,2850182
2018-05-08T00:00:00,CHRY,4D,,GRY,Z424618,IL,10300 S. Doty,(773) 568-8495,2850184
2018-05-09T00:00:00,CHEV,4D,,GRY,686RP,IN,10300 S. Doty,(773) 568-8495,2850187
2018-05-09T00:00:00,OLDS,4D,,TAN,Q186614,IL,10300 S. Doty,(773) 568-8495,2850185
2018-05-09T00:00:00,CHEV,4D,,GRY,Y915732,IL,10300 S. Doty,(773) 568-8495,2850196
2018-05-09T00:00:00,FORD,VN,TK,BLU,837T784,IL,701 N. Sacramento,(773) 265-7605,6922650
2018-05-09T00:00:00,CHRY,VN,,SIL,Y760462,IL,701 N. Sacramento,(773) 265-7605,6922652
2018-05-09T00:00:00,HYUN,4D,,RED,231647,IL,701 N. Sacramento,(773) 265-7605,6922657
2018-05-09T00:00:00,JEEP,LL,,BLU,202U707,IL,10300 S. Doty,(773) 568-8495,2850218
2018-05-09T00:00:00,NISS,LL,,SIL,Q978965,IL,10300 S. Doty,(773) 568-8495,2850224
2018-05-09T00:00:00,CHRY,4D,,BLK,V433918,IL,10300 S. Doty,(773) 568-8495,2850229
2018-05-09T00:00:00,VOLK,2D,,BLU,AG48504,IL,701 N. Sacramento,(773) 265-7605,6922661
2018-05-09T00:00:00,CHEV,4D,,SIL,S765689,IL,701 N. Sacramento,(773) 265-7605,6922660
2018-05-08T00:00:00,HYUN,4D,,WHI,ZU60708,IL,10300 S. Doty,(773) 568-8495,2850152
2018-05-09T00:00:00,MERC,LL,,GRY,Q882903,IL,10300 S. Doty,(773) 568-8495,2850241
2018-05-09T00:00:00,DODG,VN,,BLU,AG58238,IL,10300 S. Doty,(773) 568-8495,2850247
2018-05-09T00:00:00,PONT,LL,,WHI,AJ34235,IL,10300 S. Doty,(773) 568-8495,2850260
2018-05-09T00:00:00,FORD,LL,,WHI,468WXK,KY,10300 S. Doty,(773) 568-8495,478268
2018-05-09T00:00:00,TOYT,2D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6922673
2018-05-09T00:00:00,FORD,4D,,GRN,AP68653,IL,701 N. Sacramento,(773) 265-7605,6922679
2018-05-09T00:00:00,MAZD,4D,,SIL,K123802,IL,701 N. Sacramento,(773) 265-7605,6922685
2018-05-09T00:00:00,NISS,4D,,BLK,E356473,IL,701 N. Sacramento,(773) 265-7605,6922683
2018-05-09T00:00:00,AUDI,2D,,BLK,284307F,TX,701 N. Sacramento,(773) 265-7605,6922687
2018-05-09T00:00:00,GMC,LL,,RED,,IN,701 N. Sacramento,(773) 265-7605,6922691
2018-05-09T00:00:00,BMW,2D,,BLK,116U534,IL,701 N. Sacramento,(773) 265-7605,6922693
2018-05-10T00:00:00,PONT,4D,,BLK,AJ56946,IL,701 N. Sacramento,(773) 265-7605,6922701
2018-05-10T00:00:00,NISS,LL,,BLU,V529648,IL,701 N. Sacramento,(773) 265-7605,6922699
2018-05-10T00:00:00,MERC,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2850273
2018-05-10T00:00:00,CHEV,4D,,GRY,Z818688,IL,10300 S. Doty,(773) 568-8495,2850278
2018-05-10T00:00:00,OLDS,4D,,SIL,ZU44924,IL,10300 S. Doty,(773) 568-8495,2850280
2018-05-10T00:00:00,DODG,VN,,BLU,276722,IL,10300 S. Doty,(773) 568-8495,2850283
2018-05-10T00:00:00,TOYT,4T,,WHI,Q787201,IL,701 N. Sacramento,(773) 265-7605,6922707
2018-05-10T00:00:00,TOYT,4D,,SIL,514978,IL,10300 S. Doty,(773) 568-8495,2850284
2018-05-10T00:00:00,CHEV,2H,,BLK,AA55247,IL,10300 S. Doty,(773) 568-8495,2850286
2018-05-10T00:00:00,MERC,4T,,RED,Y729692,IL,10300 S. Doty,(773) 568-8495,2850294
2018-05-10T00:00:00,CADI,4D,,WHI,541759,IL,10300 S. Doty,(773) 568-8495,2850305
2018-05-10T00:00:00,CHEV,4D,,SIL,AD20096,IL,10300 S. Doty,(773) 568-8495,2850311
2018-05-10T00:00:00,NISS,4D,,SIL,J558483,IN,10300 S. Doty,(773) 568-8495,2850314
2018-05-10T00:00:00,TOYT,4D,,BLK,AL40772,IL,10300 S. Doty,(773) 568-8495,2850316
2018-05-10T00:00:00,FORD,4D,,GRN,AC95693,IL,10300 S. Doty,(773) 568-8495,2850332
2018-05-10T00:00:00,FORD,LL,,RED,E386027,IL,10300 S. Doty,(773) 568-8495,2850353
2018-05-10T00:00:00,BUIC,4D,,TAN,580591,IL,701 N. Sacramento,(773) 265-7605,6922724
2018-05-10T00:00:00,JEEP,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2850359
2018-05-10T00:00:00,FORD,VN,,WHI,1796243B,IL,701 N. Sacramento,(773) 265-7605,6922728
2018-05-10T00:00:00,HOND,VN,,GRN,AD73347,IL,701 N. Sacramento,(773) 265-7605,6922733
2018-05-10T00:00:00,BMW,LL,,SIL,Q980359,IL,701 N. Sacramento,(773) 265-7605,6922735
2018-05-10T00:00:00,CADI,4D,,GLD,,,701 N. Sacramento,(773) 265-7605,6922732
2018-05-10T00:00:00,NISS,4D,,WHI,J585560,IN,10300 S. Doty,(773) 568-8495,2850362
2018-05-10T00:00:00,DODG,2D,,RED,AL20219,IL,10300 S. Doty,(773) 568-8495,2850363
2018-05-10T00:00:00,CHEV,4D,,GRY,125U347,IL,701 N. Sacramento,(773) 265-7605,6922738
2018-05-10T00:00:00,CADI,4D,,BRO,Z640452,IL,10300 S. Doty,(773) 568-8495,2850364
2018-05-10T00:00:00,CHEV,2D,,SIL,CM4U1V,MO,10300 S. Doty,(773) 568-8495,478286
2018-05-10T00:00:00,FORD,LL,,BLU,E135699,IL,10300 S. Doty,(773) 568-8495,2850367
2018-05-10T00:00:00,MERC,LL,,BLK,V949910,IL,701 N. Sacramento,(773) 265-7605,6922739
2018-05-10T00:00:00,FORD,VN,,WHI,IT9733A,IL,701 N. Sacramento,(773) 265-7605,6922740
2018-05-10T00:00:00,FORD,LL,,RED,Z724793,IL,10300 S. Doty,(773) 568-8495,2850371
2018-05-10T00:00:00,NISS,LL,,MAR,988T616,IL,10300 S. Doty,(773) 568-8495,2850373
2018-05-11T00:00:00,FORD,LL,TK,GRN,,IL,10300 S. Doty,(773) 568-8495,2850376
2018-05-11T00:00:00,TOYT,2D,,SIL,906T730,IL,701 N. Sacramento,(773) 265-7605,6922747
2018-05-11T00:00:00,HOND,2D,,GRY,AL24813,IL,400 E. Lower Wacker,(312) 744-7550,986162
2018-05-11T00:00:00,FORD,4D,,TAN,S385272,IL,701 N. Sacramento,(773) 265-7605,6922754
2018-05-11T00:00:00,VOLV,4D,,GRN,935T043,IL,701 N. Sacramento,(773) 265-7605,6922752
2018-05-11T00:00:00,MAZD,4D,,TAN,GWS938,IA,10300 S. Doty,(773) 568-8495,2850380
2018-05-11T00:00:00,CHEV,2D,,SIL,AM82937,IL,701 N. Sacramento,(773) 265-7605,6922756
2018-05-11T00:00:00,PONT,4D,,WHI,AG59594,IL,10300 S. Doty,(773) 568-8495,2850393
2018-05-11T00:00:00,FORD,4D,,RED,862126,IL,10300 S. Doty,(773) 568-8495,478292
2018-05-11T00:00:00,NISS,4D,,WHI,Z501957,IL,10300 S. Doty,(773) 568-8495,2850395
2018-05-11T00:00:00,FOML,4D,,RED,Z646923,IL,10300 S. Doty,(773) 568-8495,2850397
2018-05-11T00:00:00,CADI,4D,,GRY,E389733,IL,10300 S. Doty,(773) 568-8495,2850400
2018-05-11T00:00:00,CHEV,4D,,TAN,AT83564,IL,701 N. Sacramento,(773) 265-7605,6922759
2018-05-11T00:00:00,HYUN,LL,,RED,AJ97384,IL,10300 S. Doty,(773) 568-8495,2850403
2018-05-11T00:00:00,CHRY,4D,,RED,AG88069,IL,10300 S. Doty,(773) 568-8495,2850411
2018-05-11T00:00:00,TOYT,4D,,SIL,ZX73284,IL,10300 S. Doty,(773) 568-8495,2850419
2018-05-11T00:00:00,FORD,LL,,MAR,Z663155,IL,701 N. Sacramento,(773) 265-7605,6922765
2018-05-11T00:00:00,DODG,VN,,SIL,Q477682,IL,10300 S. Doty,(773) 568-8495,2850424
2018-05-11T00:00:00,NISS,4D,,SIL,R769317,IL,10300 S. Doty,(773) 568-8495,2850427
2018-05-11T00:00:00,MERC,4D,,WHI,ZX22593,IL,10300 S. Doty,(773) 568-8495,2850428
2018-05-11T00:00:00,NISS,4D,,BLK,AJD451,IL,10300 S. Doty,(773) 568-8495,2850433
2018-05-11T00:00:00,CHEV,LL,,TAN,626324,IL,10300 S. Doty,(773) 568-8495,2850437
2018-05-11T00:00:00,GMC,PK,,WHI,2099187B,IL,701 N. Sacramento,(773) 265-7605,6922780
2018-05-11T00:00:00,PONT,4D,,DGR,ZZ30122,IL,701 N. Sacramento,(773) 265-7605,6922790
2018-05-11T00:00:00,CHEV,4D,,TAN,AN58544,IL,701 N. Sacramento,(773) 265-7605,6922787
2018-05-11T00:00:00,CHRY,4D,,RED,X208181,IL,701 N. Sacramento,(773) 265-7605,6922788
2018-05-11T00:00:00,FORD,4D,,WHI,951T401,IL,10300 S. Doty,(773) 568-8495,2850453
2018-05-11T00:00:00,TOYT,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6922796
2018-05-11T00:00:00,NISS,LL,TK,WHI,Q929020,IL,10300 S. Doty,(773) 568-8495,2850456
2018-05-11T00:00:00,FORD,VN,TK,WHI,AS81590,IL,701 N. Sacramento,(773) 265-7605,6922798
2018-05-11T00:00:00,TOYT,4D,,WHI,Y913189,IL,701 N. Sacramento,(773) 265-7605,6922799
2018-05-11T00:00:00,BUIC,LL,TK,TAN,,IL,701 N. Sacramento,(773) 265-7605,6922797
2018-05-11T00:00:00,NISS,4D,,WHI,AQ24694,IL,10300 S. Doty,(773) 568-8495,2850457
2018-05-11T00:00:00,LINC,4D,,WHI,138126,IL,701 N. Sacramento,(773) 265-7605,6922800
2018-05-11T00:00:00,BUIC,4D,,MAR,ZU45549,IL,10300 S. Doty,(773) 568-8495,2850459
2018-05-11T00:00:00,PONT,VN,,TAN,AF75718,IL,10300 S. Doty,(773) 568-8495,2850461
2018-05-11T00:00:00,VOLK,4D,,DBL,AG75755,IL,10300 S. Doty,(773) 568-8495,2850464
2018-05-11T00:00:00,HOND,4D,,GRN,AS77503,IL,10300 S. Doty,(773) 568-8495,2850462
2018-05-12T00:00:00,HYUN,4D,,BLU,996LGP,FL,10300 S. Doty,(773) 568-8495,2850466
2018-05-12T00:00:00,HYUN,4D,,BLU,495899,IL,701 N. Sacramento,(773) 265-7605,6922810
2018-05-12T00:00:00,FORD,4D,,MAR,AN58154,IL,701 N. Sacramento,(773) 265-7605,6922814
2018-05-12T00:00:00,BUIC,4D,,SIL,Q838525,IL,701 N. Sacramento,(773) 265-7605,6922816
2018-05-12T00:00:00,CHEV,VN,,WHI,AT57213,IL,701 N. Sacramento,(773) 265-7605,6922815
2018-05-12T00:00:00,JEEP,LL,TK,SIL,681091,IL,701 N. Sacramento,(773) 265-7605,6922808
2018-05-12T00:00:00,FORD,4D,,MAR,Q672164,IL,701 N. Sacramento,(773) 265-7605,6922832
2018-05-12T00:00:00,CHEV,4D,,BLU,V434728,IL,701 N. Sacramento,(773) 265-7605,6922854
2018-05-12T00:00:00,CHEV,LL,,BLK,ACT4835,WI,701 N. Sacramento,(773) 265-7605,6922855
2018-05-12T00:00:00,NISS,4D,,BLK,594331,IL,10300 S. Doty,(773) 568-8495,478299
2018-05-12T00:00:00,FORD,2D,,GRN,Q164312,IL,10300 S. Doty,(773) 568-8495,2850479
2018-05-12T00:00:00,FORD,4D,,TAN,373827,IL,701 N. Sacramento,(773) 265-7605,6922866
2018-05-12T00:00:00,PONT,4D,,WHI,989T112,IL,10300 S. Doty,(773) 568-8495,2850495
2018-05-12T00:00:00,JEEP,LL,,BLK,AD63010,IL,10300 S. Doty,(773) 568-8495,2850491
2018-05-12T00:00:00,HOND,VN,,GRY,AG69008,IL,10300 S. Doty,(773) 568-8495,2850493
2018-05-12T00:00:00,JEEP,LL,,BLK,AK18876,IL,10300 S. Doty,(773) 568-8495,2850497
2018-05-12T00:00:00,HOND,4D,,GRN,Q140026,IL,701 N. Sacramento,(773) 265-7605,6922864
2018-05-12T00:00:00,NISS,4D,,RED,AE60577,IL,701 N. Sacramento,(773) 265-7605,6922871
2018-05-12T00:00:00,PONT,4D,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6922869
2018-05-12T00:00:00,CADI,4D,,GRY,615380,IL,701 N. Sacramento,(773) 265-7605,6922876
2018-05-12T00:00:00,FORD,4D,,WHI,Z774378,IL,10300 S. Doty,(773) 568-8495,2850512
2018-05-12T00:00:00,ACUR,2D,,TAN,ZZ97732,IL,10300 S. Doty,(773) 568-8495,2850537
2018-05-12T00:00:00,CHEV,4D,,WHI,E440813,IL,10300 S. Doty,(773) 568-8495,2850539
2018-05-12T00:00:00,MITS,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2850545
2018-05-12T00:00:00,CHEV,4D,,GRY,Q198270,IL,701 N. Sacramento,(773) 265-7605,6922892
2018-05-12T00:00:00,FORD,4D,,RED,AK5B7,IL,701 N. Sacramento,(773) 265-7605,6922897
2018-05-12T00:00:00,CHEV,2D,,BRZ,585361,IL,701 N. Sacramento,(773) 265-7605,6922902
2018-05-12T00:00:00,HOND,4D,,BLK,E812002,IL,701 N. Sacramento,(773) 265-7605,6922900
2018-05-12T00:00:00,KIA,VN,,GLD,456396,IL,10300 S. Doty,(773) 568-8495,2850553
2018-05-12T00:00:00,HYUN,4D,,SIL,Z669851,IL,701 N. Sacramento,(773) 265-7605,6922904
2018-05-12T00:00:00,BUIC,3P,,GRY,,IL,10300 S. Doty,(773) 568-8495,2850552
2018-05-12T00:00:00,DODG,VN,,GRN,953T784,IL,701 N. Sacramento,(773) 265-7605,6922905
2018-05-12T00:00:00,MAZD,4D,,TAN,AJ49322,IL,10300 S. Doty,(773) 568-8495,2850541
2018-05-12T00:00:00,PONT,VN,,RED,949S176,IL,10300 S. Doty,(773) 568-8495,2850554
2018-05-12T00:00:00,HOND,LL,,MAR,E674025,IL,10300 S. Doty,(773) 568-8495,2850549
2018-05-12T00:00:00,HOND,4D,,RED,AP99842,IL,10300 S. Doty,(773) 568-8495,2850556
2018-05-12T00:00:00,HOND,VN,,WHI,,,10300 S. Doty,(773) 568-8495,2850522
2018-05-12T00:00:00,MERC,4D,,BRZ,AP22692,IL,10300 S. Doty,(773) 568-8495,2850523
2018-05-12T00:00:00,TOYT,4D,,TAN,AQ44844,IL,701 N. Sacramento,(773) 265-7605,6922911
2018-05-12T00:00:00,MAZD,4D,,GLD,495823,IL,701 N. Sacramento,(773) 265-7605,6922910
2018-05-12T00:00:00,KIA,LL,,BLK,AF49683,IL,10300 S. Doty,(773) 568-8495,2850559
2018-05-13T00:00:00,HOND,VC,,GRY,425022F,TX,701 N. Sacramento,(773) 265-7605,6922918
2018-05-12T00:00:00,CHRY,VN,,SIL,AG73502,IL,10300 S. Doty,(773) 568-8495,2850563
2018-05-13T00:00:00,GMC,LL,,WHI,2455975,IN,10300 S. Doty,(773) 568-8495,2850564
2018-05-13T00:00:00,PONT,4D,,SIL,483878,IL,701 N. Sacramento,(773) 265-7605,6922933
2018-05-13T00:00:00,BUIC,LL,,MAR,,IL,10300 S. Doty,(773) 568-8495,2850568
2018-05-13T00:00:00,INFI,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6922919
2018-05-13T00:00:00,FORD,VN,,GRN,524548,IL,701 N. Sacramento,(773) 265-7605,6922946
2018-05-13T00:00:00,CHEV,LL,,TAN,AD55341,IL,701 N. Sacramento,(773) 265-7605,6922951
2018-05-13T00:00:00,FORD,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2850573
2018-05-13T00:00:00,LINC,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6922961
2018-05-13T00:00:00,FORD,PK,TK,GRN,2431722B,IL,10300 S. Doty,(773) 568-8495,2850580
2018-05-13T00:00:00,LINC,4D,,WHI,,,701 N. Sacramento,(773) 265-7605,6922980
2018-05-13T00:00:00,LINC,LL,TK,WHI,AG23700,IL,10300 S. Doty,(773) 568-8495,2850603
2018-05-13T00:00:00,CHEV,4D,,BLK,Q345884,IL,701 N. Sacramento,(773) 265-7605,6923001
2018-05-13T00:00:00,CHEV,4D,,TAN,7086776,IL,10300 S. Doty,(773) 568-8495,2850609
2018-05-13T00:00:00,HOND,4D,,RED,40469E,IL,10300 S. Doty,(773) 568-8495,2850612
2018-05-13T00:00:00,JEEP,LL,TK,BLK,AQ47500,IL,400 E. Lower Wacker,(312) 744-7550,6923011
2018-05-13T00:00:00,CHRY,4D,,DBL,AD73125,IL,10300 S. Doty,(773) 568-8495,2850616
2018-05-13T00:00:00,NISS,4D,,GRY,S136659,IL,701 N. Sacramento,(773) 265-7605,6923013
2018-05-13T00:00:00,TOYT,2D,,WHI,G2317B,WI,10300 S. Doty,(773) 568-8495,2850617
2018-05-13T00:00:00,HYUN,4D,,SIL,,,701 N. Sacramento,(773) 265-7605,6923015
2018-05-14T00:00:00,CHEV,LL,TK,BLU,676921,IL,10300 S. Doty,(773) 568-8495,2850620
2018-05-14T00:00:00,CHEV,4D,,SIL,GRX486,IA,701 N. Sacramento,(773) 265-7605,6923017
2018-05-14T00:00:00,LINC,4D,,TAN,461833,IL,701 N. Sacramento,(773) 265-7605,6923028
2018-05-14T00:00:00,LEXS,4D,,GLD,Q956868,IL,701 N. Sacramento,(773) 265-7605,6923031
2018-05-14T00:00:00,GMC,TR,,WHI,AG26743,AZ,10300 S. Doty,(773) 568-8495,2850623
2018-05-14T00:00:00,NISS,4D,,GRY,AB18873,IL,701 N. Sacramento,(773) 265-7605,6923034
2018-05-14T00:00:00,CHEV,4D,,GRY,647T746,IL,10300 S. Doty,(773) 568-8495,2850626
2018-05-14T00:00:00,PONT,4D,,BLU,AP17454,IL,10300 S. Doty,(773) 568-8495,2850627
2018-05-14T00:00:00,CHEV,4D,,BLU,Y871202,IL,10300 S. Doty,(773) 568-8495,2850629
2018-05-13T00:00:00,PONT,4D,,SIL,AN77258,IL,701 N. Sacramento,(773) 265-7605,6922934
2018-05-13T00:00:00,CHRY,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6922960
